questions,answers,choice 2,choice 3,choice 4,
When was the Declaration of Independence signed?,"August 2, 1776","July 20, 1770","December 7, 1670","January 13, 1802",
 The United States bought Alaska from which country?,Russia,Canada,UK,Japan,
Which year was George H.W. Bush elected president?,1988,1992,2002,1976,
Who was the first American to win a Noble Peace Prize?,Theodore Roosevelt,Richard Nixon,Bill Clinton,Franklin D. Roosevelt,
When did the construction of the Great Wall of China begin?,7th Century BC,8th Century BC,2nd Century BC,2nd Century AD,
What is considered the largest empire in history?,The Mongol Empire,The Frankish Empire,Holy Roman Empire,The Qing Empire,
Where did Albert Einstein live before moving to the United States?,Germany,UK,Austria,Russia,
During which war was a Christmas Truce called?,World War 1,World War 2,The Thousand Days' War,The First War,
What year did India gain independence from Britain?,1947,1942,1950,1938,
What was the capital city of the Inca Empire?,Cusco,Machu,Tiwanaku,Tiwanaku,
Who fought in the Hundred Years’ War?,Britain and France,Britain and Scotland,France and Germany,Britain and The United States,
Who is the king of the Olympian gods in Greek mythology?,Zeus,Hades,Odin,God,
When did Alexander the Great conquer Egypt?,332 BC,10 BC,112 AC,15 AC,
Which fabric was invented in Ancient China?,Silk,Lace,Linen,Cotton,
What year was the first iPhone released?,2007,2010,2005,2012,
Which country hosted the 2016 Olympics?,Brazil,Finland,Japan,Germany,
What year did the Berlin Wall fall?,1989,1990,1978,1968,
Which planet was downgraded to a dwarf planet in 2006?,Pluto,Neptun,Mercury,The Moon,
Who won the 2008 U.S. Presidential election?,Obama,George W. Bush,Bill Clinton,Donald Trump,
Brexit refers to which country leaving the European Union?,The United Kingdom,Belgium,Switzerland,France,
Which U.S. city hosted the Summer Olympics in 1996?,Atlanta,New York City,Boston,Chicago,
How many years did the 100 years war last?,116,100,98,105,
In which year did Hitler commit suicide?,1945,1939,1942,1941,
Greenland was a colony of which country until 1981?,Denmark,Iceland,Norway,The United Kingdoms,
The Ptolemy dynasty ruled which ancient kingdom?,Egypt,Sam's Kingdom,China,Persian Empire,
Who built the first car in America?,Henry Ford,John Adi,Sam Tesla,Daniel Wolt,
How many times has the Mona Lisa been stolen?,One,Zero,Three,Two,
In which year was Mahatma Gandhi killed?,1948,1902,1877,1894,
Who led the USSR from 1917-1922?,Lenin,Stalin,Trotsky,Putin,
In which country was the largest known T-Rex skeleton found?,Canada,Germany,China,Mexico,
In which year did WWI begin?,1914,1918,1936,1908,
What is the longest war in U.S. history?,Afghan War,The War for independence,World War 2,The Spice War,
What group of people discovered Greenland?,The Vikings,The British,The French,The Irish,
"In 1939, the UK declared war on Germany after what event?",Poland was invaded,The occupation of Suddents,Militarization of The Rhineland,The Molotov-Ribbentrop Pact,
The Cold War was between the United States and what other world power?,Soviet Union,German Empire,Ottoman Empire,China,
The Reign of Terror was a period during which major social and political event?,French Revolution,World War 1,World War 2,The Imperial Occupation of China,
Who was the victor in the French and Indian War?,The British,The French,The Indians,The Americans,
What was the previous name for New York?,New Amsterdam,New London,New Found Land,New Hampshire,
Which country was not part of the Triple Entente?,Germany,France,Japan,Russia,
 In which country did Buddhism originate?,Nepal,Tibet,Bhutan,Xin Xiaq,
Which city served as the capital of the Ottoman Empire?,Constantinople,Ankara,Athene,Kar'thuc,
The Statue of Liberty was a gift from which country?,France,Germany,Spain,Canada,
What is the smallest country in the world?,Vatican City,Venice,San Marino,Malta,
Which country was the first to allow women to vote?,New Zealand,USA,France,Portugal,
What was the first city to reach a population of 1 million?,Ancient Rome,Ancient Sparta,Ancient Gyza,Ancient Pompei,
In which year did the Titanic sink?,1912,1918,1941,1987,
